1688540185.342284 client started (24046): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1688540185.342317 on Darwin 22.5.0 Darwin Kernel Version 22.5.0: Thu Jun  8 22:22:19 PDT 2023; root:xnu-8796.121.3~7/RELEASE_ARM64_T8103
1688540185.342526 using libevent 2.1.12-stable (select); utf8proc 2.8.0; ncurses 6.4
1688540185.342541 flags are 0x18010000
1688540185.342546 socket is /private/tmp/tmux-501/default
1688540185.342555 trying connect
1688540185.342568 connect failed: Connection refused
1688540185.342581 lock file is /private/tmp/tmux-501/default.lock
1688540185.342726 flock succeeded
1688540185.342731 got lock (6)
1688540185.342736 trying connect
1688540185.342741 connect failed: Connection refused
1688540185.343105 add peer 0x158048000: 7 (0x0)
1688540185.349433 sending message 100 to peer 0x158048000 (4 bytes)
1688540185.349442 sending message 111 to peer 0x158048000 (8 bytes)
1688540185.349449 sending message 101 to peer 0x158048000 (15 bytes)
1688540185.349455 sending message 109 to peer 0x158048000 (4 bytes)
1688540185.349460 sending message 102 to peer 0x158048000 (13 bytes)
1688540185.349466 sending message 108 to peer 0x158048000 (30 bytes)
1688540185.349472 sending message 112 to peer 0x158048000 (58 bytes)
1688540185.349477 sending message 112 to peer 0x158048000 (5 bytes)
1688540185.349483 sending message 112 to peer 0x158048000 (5 bytes)
1688540185.349489 sending message 112 to peer 0x158048000 (6 bytes)
1688540185.349494 sending message 112 to peer 0x158048000 (6 bytes)
1688540185.349499 sending message 112 to peer 0x158048000 (11 bytes)
1688540185.349504 sending message 112 to peer 0x158048000 (10 bytes)
1688540185.349509 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.349514 sending message 112 to peer 0x158048000 (14 bytes)
1688540185.349520 sending message 112 to peer 0x158048000 (19 bytes)
1688540185.349525 sending message 112 to peer 0x158048000 (11 bytes)
1688540185.349529 sending message 112 to peer 0x158048000 (10 bytes)
1688540185.349534 sending message 112 to peer 0x158048000 (15 bytes)
1688540185.349540 sending message 112 to peer 0x158048000 (21 bytes)
1688540185.349546 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.349551 sending message 112 to peer 0x158048000 (7 bytes)
1688540185.349583 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.349593 sending message 112 to peer 0x158048000 (7 bytes)
1688540185.349600 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.349606 sending message 112 to peer 0x158048000 (9 bytes)
1688540185.349612 sending message 112 to peer 0x158048000 (21 bytes)
1688540185.349619 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.349625 sending message 112 to peer 0x158048000 (9 bytes)
1688540185.349630 sending message 112 to peer 0x158048000 (16 bytes)
1688540185.349636 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.349641 sending message 112 to peer 0x158048000 (9 bytes)
1688540185.349647 sending message 112 to peer 0x158048000 (9 bytes)
1688540185.349653 sending message 112 to peer 0x158048000 (12 bytes)
1688540185.349658 sending message 112 to peer 0x158048000 (8 bytes)
1688540185.349663 sending message 112 to peer 0x158048000 (8 bytes)
1688540185.349668 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.349672 sending message 112 to peer 0x158048000 (7 bytes)
1688540185.349676 sending message 112 to peer 0x158048000 (7 bytes)
1688540185.349681 sending message 112 to peer 0x158048000 (9 bytes)
1688540185.349687 sending message 112 to peer 0x158048000 (9 bytes)
1688540185.349692 sending message 112 to peer 0x158048000 (15 bytes)
1688540185.349697 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.349702 sending message 112 to peer 0x158048000 (12 bytes)
1688540185.349707 sending message 112 to peer 0x158048000 (8 bytes)
1688540185.349713 sending message 112 to peer 0x158048000 (14 bytes)
1688540185.349718 sending message 112 to peer 0x158048000 (11 bytes)
1688540185.349724 sending message 112 to peer 0x158048000 (9 bytes)
1688540185.349729 sending message 112 to peer 0x158048000 (10 bytes)
1688540185.349746 sending message 112 to peer 0x158048000 (10 bytes)
1688540185.349750 sending message 112 to peer 0x158048000 (10 bytes)
1688540185.349754 sending message 112 to peer 0x158048000 (10 bytes)
1688540185.349757 sending message 112 to peer 0x158048000 (11 bytes)
1688540185.349761 sending message 112 to peer 0x158048000 (12 bytes)
1688540185.349765 sending message 112 to peer 0x158048000 (12 bytes)
1688540185.349768 sending message 112 to peer 0x158048000 (12 bytes)
1688540185.349772 sending message 112 to peer 0x158048000 (12 bytes)
1688540185.349775 sending message 112 to peer 0x158048000 (12 bytes)
1688540185.349779 sending message 112 to peer 0x158048000 (11 bytes)
1688540185.349783 sending message 112 to peer 0x158048000 (11 bytes)
1688540185.349787 sending message 112 to peer 0x158048000 (12 bytes)
1688540185.349790 sending message 112 to peer 0x158048000 (12 bytes)
1688540185.349794 sending message 112 to peer 0x158048000 (12 bytes)
1688540185.349797 sending message 112 to peer 0x158048000 (12 bytes)
1688540185.349800 sending message 112 to peer 0x158048000 (12 bytes)
1688540185.349803 sending message 112 to peer 0x158048000 (9 bytes)
1688540185.349806 sending message 112 to peer 0x158048000 (12 bytes)
1688540185.349810 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.349814 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.349818 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.349822 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.349825 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.349829 sending message 112 to peer 0x158048000 (8 bytes)
1688540185.349832 sending message 112 to peer 0x158048000 (11 bytes)
1688540185.349836 sending message 112 to peer 0x158048000 (11 bytes)
1688540185.349840 sending message 112 to peer 0x158048000 (11 bytes)
1688540185.349843 sending message 112 to peer 0x158048000 (12 bytes)
1688540185.349847 sending message 112 to peer 0x158048000 (12 bytes)
1688540185.349851 sending message 112 to peer 0x158048000 (12 bytes)
1688540185.349854 sending message 112 to peer 0x158048000 (12 bytes)
1688540185.349858 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.349861 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.349865 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.349869 sending message 112 to peer 0x158048000 (8 bytes)
1688540185.349874 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.349877 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.349881 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.349885 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.349888 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.349892 sending message 112 to peer 0x158048000 (12 bytes)
1688540185.349895 sending message 112 to peer 0x158048000 (12 bytes)
1688540185.349898 sending message 112 to peer 0x158048000 (12 bytes)
1688540185.349902 sending message 112 to peer 0x158048000 (12 bytes)
1688540185.349905 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.349908 sending message 112 to peer 0x158048000 (8 bytes)
1688540185.349912 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.349917 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.349921 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.349923 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.349928 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.349931 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.349935 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.349939 sending message 112 to peer 0x158048000 (12 bytes)
1688540185.349942 sending message 112 to peer 0x158048000 (12 bytes)
1688540185.349946 sending message 112 to peer 0x158048000 (12 bytes)
1688540185.349950 sending message 112 to peer 0x158048000 (8 bytes)
1688540185.349954 sending message 112 to peer 0x158048000 (12 bytes)
1688540185.349957 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.349967 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.349971 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.349974 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.349978 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.349982 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.349986 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.349989 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.349992 sending message 112 to peer 0x158048000 (12 bytes)
1688540185.349995 sending message 112 to peer 0x158048000 (10 bytes)
1688540185.349999 sending message 112 to peer 0x158048000 (12 bytes)
1688540185.350002 sending message 112 to peer 0x158048000 (12 bytes)
1688540185.350006 sending message 112 to peer 0x158048000 (12 bytes)
1688540185.350010 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.350014 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.350017 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.350021 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.350024 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.350027 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.350031 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.350035 sending message 112 to peer 0x158048000 (10 bytes)
1688540185.350039 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.350042 sending message 112 to peer 0x158048000 (12 bytes)
1688540185.350046 sending message 112 to peer 0x158048000 (12 bytes)
1688540185.350050 sending message 112 to peer 0x158048000 (12 bytes)
1688540185.350054 sending message 112 to peer 0x158048000 (10 bytes)
1688540185.350058 sending message 112 to peer 0x158048000 (10 bytes)
1688540185.350061 sending message 112 to peer 0x158048000 (10 bytes)
1688540185.350065 sending message 112 to peer 0x158048000 (12 bytes)
1688540185.350069 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.350073 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.350078 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.350081 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.350084 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.350088 sending message 112 to peer 0x158048000 (10 bytes)
1688540185.350092 sending message 112 to peer 0x158048000 (11 bytes)
1688540185.350096 sending message 112 to peer 0x158048000 (12 bytes)
1688540185.350100 sending message 112 to peer 0x158048000 (12 bytes)
1688540185.350103 sending message 112 to peer 0x158048000 (12 bytes)
1688540185.350107 sending message 112 to peer 0x158048000 (12 bytes)
1688540185.350111 sending message 112 to peer 0x158048000 (12 bytes)
1688540185.350114 sending message 112 to peer 0x158048000 (11 bytes)
1688540185.350117 sending message 112 to peer 0x158048000 (12 bytes)
1688540185.350121 sending message 112 to peer 0x158048000 (12 bytes)
1688540185.350124 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.350128 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.350132 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.350136 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.350140 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.350143 sending message 112 to peer 0x158048000 (10 bytes)
1688540185.350147 sending message 112 to peer 0x158048000 (9 bytes)
1688540185.350151 sending message 112 to peer 0x158048000 (12 bytes)
1688540185.350155 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.350159 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.350163 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.350168 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.350171 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.350175 sending message 112 to peer 0x158048000 (9 bytes)
1688540185.350179 sending message 112 to peer 0x158048000 (12 bytes)
1688540185.350183 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.350187 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.350196 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.350199 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.350203 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.350206 sending message 112 to peer 0x158048000 (11 bytes)
1688540185.350210 sending message 112 to peer 0x158048000 (12 bytes)
1688540185.350214 sending message 112 to peer 0x158048000 (13 bytes)
1688540185.350218 sending message 112 to peer 0x158048000 (13 bytes)
