1704251148.186187 client started (15223): version 3.3a, socket /private/tmp/tmux-502/default, protocol 8
1704251148.186278 on Darwin 23.2.0 Darwin Kernel Version 23.2.0: Wed Nov 15 21:59:33 PST 2023; root:xnu-10002.61.3~2/RELEASE_ARM64_T8112
1704251148.187126 using libevent 2.1.12-stable (select); utf8proc 2.9.0; ncurses 6.4
1704251148.187163 flags are 0x10010000
1704251148.187176 socket is /private/tmp/tmux-502/default
1704251148.187194 trying connect
1704251148.187263 add peer 0x148008000: 6 (0x0)
1704251148.191384 sending message 100 to peer 0x148008000 (4 bytes)
1704251148.191422 sending message 111 to peer 0x148008000 (8 bytes)
1704251148.191432 sending message 101 to peer 0x148008000 (16 bytes)
1704251148.191441 sending message 109 to peer 0x148008000 (4 bytes)
1704251148.191450 sending message 102 to peer 0x148008000 (13 bytes)
1704251148.191457 sending message 108 to peer 0x148008000 (25 bytes)
1704251148.191467 sending message 112 to peer 0x148008000 (70 bytes)
1704251148.191477 sending message 112 to peer 0x148008000 (5 bytes)
1704251148.191485 sending message 112 to peer 0x148008000 (5 bytes)
1704251148.191492 sending message 112 to peer 0x148008000 (6 bytes)
1704251148.191499 sending message 112 to peer 0x148008000 (6 bytes)
1704251148.191506 sending message 112 to peer 0x148008000 (11 bytes)
1704251148.191513 sending message 112 to peer 0x148008000 (10 bytes)
1704251148.191521 sending message 112 to peer 0x148008000 (13 bytes)
1704251148.191528 sending message 112 to peer 0x148008000 (13 bytes)
1704251148.191535 sending message 112 to peer 0x148008000 (18 bytes)
1704251148.191543 sending message 112 to peer 0x148008000 (11 bytes)
1704251148.191550 sending message 112 to peer 0x148008000 (21 bytes)
1704251148.191557 sending message 112 to peer 0x148008000 (13 bytes)
1704251148.191564 sending message 112 to peer 0x148008000 (7 bytes)
1704251148.191572 sending message 112 to peer 0x148008000 (13 bytes)
1704251148.191584 sending message 112 to peer 0x148008000 (7 bytes)
1704251148.191592 sending message 112 to peer 0x148008000 (13 bytes)
1704251148.191599 sending message 112 to peer 0x148008000 (9 bytes)
1704251148.191606 sending message 112 to peer 0x148008000 (21 bytes)
1704251148.191613 sending message 112 to peer 0x148008000 (13 bytes)
1704251148.191621 sending message 112 to peer 0x148008000 (8 bytes)
1704251148.191628 sending message 112 to peer 0x148008000 (12 bytes)
1704251148.191635 sending message 112 to peer 0x148008000 (13 bytes)
1704251148.191642 sending message 112 to peer 0x148008000 (9 bytes)
1704251148.191649 sending message 112 to peer 0x148008000 (9 bytes)
1704251148.191656 sending message 112 to peer 0x148008000 (12 bytes)
1704251148.191663 sending message 112 to peer 0x148008000 (8 bytes)
1704251148.191670 sending message 112 to peer 0x148008000 (7 bytes)
1704251148.191677 sending message 112 to peer 0x148008000 (7 bytes)
1704251148.191684 sending message 112 to peer 0x148008000 (9 bytes)
1704251148.191691 sending message 112 to peer 0x148008000 (13 bytes)
1704251148.191699 sending message 112 to peer 0x148008000 (9 bytes)
1704251148.191706 sending message 112 to peer 0x148008000 (15 bytes)
1704251148.191713 sending message 112 to peer 0x148008000 (13 bytes)
1704251148.191720 sending message 112 to peer 0x148008000 (12 bytes)
1704251148.191727 sending message 112 to peer 0x148008000 (8 bytes)
1704251148.191734 sending message 112 to peer 0x148008000 (14 bytes)
1704251148.191741 sending message 112 to peer 0x148008000 (9 bytes)
1704251148.191748 sending message 112 to peer 0x148008000 (10 bytes)
1704251148.191755 sending message 112 to peer 0x148008000 (10 bytes)
1704251148.191763 sending message 112 to peer 0x148008000 (10 bytes)
1704251148.191770 sending message 112 to peer 0x148008000 (10 bytes)
1704251148.191777 sending message 112 to peer 0x148008000 (11 bytes)
1704251148.191784 sending message 112 to peer 0x148008000 (10 bytes)
1704251148.191791 sending message 112 to peer 0x148008000 (8 bytes)
1704251148.191798 sending message 112 to peer 0x148008000 (11 bytes)
1704251148.191805 sending message 112 to peer 0x148008000 (11 bytes)
1704251148.191829 sending message 112 to peer 0x148008000 (11 bytes)
1704251148.191834 sending message 112 to peer 0x148008000 (8 bytes)
1704251148.191839 sending message 112 to peer 0x148008000 (8 bytes)
1704251148.191844 sending message 112 to peer 0x148008000 (8 bytes)
1704251148.191848 sending message 112 to peer 0x148008000 (10 bytes)
1704251148.191854 sending message 112 to peer 0x148008000 (10 bytes)
1704251148.191858 sending message 112 to peer 0x148008000 (10 bytes)
1704251148.191863 sending message 112 to peer 0x148008000 (10 bytes)
1704251148.191868 sending message 112 to peer 0x148008000 (10 bytes)
1704251148.191872 sending message 112 to peer 0x148008000 (11 bytes)
1704251148.191877 sending message 112 to peer 0x148008000 (11 bytes)
1704251148.191881 sending message 112 to peer 0x148008000 (10 bytes)
1704251148.191886 sending message 112 to peer 0x148008000 (9 bytes)
1704251148.191891 sending message 112 to peer 0x148008000 (9 bytes)
1704251148.191896 sending message 112 to peer 0x148008000 (12 bytes)
1704251148.191900 sending message 112 to peer 0x148008000 (9 bytes)
1704251148.191905 sending message 112 to peer 0x148008000 (6 bytes)
1704251148.191909 sending message 112 to peer 0x148008000 (13 bytes)
1704251148.191914 sending message 112 to peer 0x148008000 (8 bytes)
1704251148.191918 sending message 112 to peer 0x148008000 (15 bytes)
1704251148.191923 sending message 112 to peer 0x148008000 (13 bytes)
1704251148.191928 sending message 112 to peer 0x148008000 (70 bytes)
1704251148.191933 sending message 112 to peer 0x148008000 (69 bytes)
1704251148.191938 sending message 112 to peer 0x148008000 (10 bytes)
1704251148.191942 sending message 112 to peer 0x148008000 (8 bytes)
1704251148.191947 sending message 112 to peer 0x148008000 (15 bytes)
1704251148.191951 sending message 112 to peer 0x148008000 (13 bytes)
1704251148.191956 sending message 112 to peer 0x148008000 (10 bytes)
1704251148.191960 sending message 112 to peer 0x148008000 (10 bytes)
1704251148.191965 sending message 112 to peer 0x148008000 (5 bytes)
1704251148.191969 sending message 112 to peer 0x148008000 (15 bytes)
1704251148.191976 sending message 104 to peer 0x148008000 (0 bytes)
1704251148.191984 sending message 110 to peer 0x148008000 (0 bytes)
1704251148.191989 sending message 107 to peer 0x148008000 (4 bytes)
1704251148.191994 sending message 105 to peer 0x148008000 (47 bytes)
1704251148.191999 sending message 105 to peer 0x148008000 (15 bytes)
1704251148.192003 sending message 105 to peer 0x148008000 (20 bytes)
1704251148.192008 sending message 105 to peer 0x148008000 (22 bytes)
1704251148.192012 sending message 105 to peer 0x148008000 (55 bytes)
1704251148.192019 sending message 105 to peer 0x148008000 (42 bytes)
1704251148.192024 sending message 105 to peer 0x148008000 (22 bytes)
1704251148.192029 sending message 105 to peer 0x148008000 (37 bytes)
1704251148.192034 sending message 105 to peer 0x148008000 (30 bytes)
1704251148.192038 sending message 105 to peer 0x148008000 (34 bytes)
1704251148.192043 sending message 105 to peer 0x148008000 (60 bytes)
1704251148.192047 sending message 105 to peer 0x148008000 (26 bytes)
1704251148.192052 sending message 105 to peer 0x148008000 (61 bytes)
1704251148.192056 sending message 105 to peer 0x148008000 (15 bytes)
1704251148.192061 sending message 105 to peer 0x148008000 (19 bytes)
1704251148.192066 sending message 105 to peer 0x148008000 (27 bytes)
1704251148.192070 sending message 105 to peer 0x148008000 (8 bytes)
1704251148.192075 sending message 105 to peer 0x148008000 (18 bytes)
1704251148.192080 sending message 105 to peer 0x148008000 (32 bytes)
1704251148.192084 sending message 105 to peer 0x148008000 (96 bytes)
1704251148.192091 sending message 105 to peer 0x148008000 (54 bytes)
1704251148.192096 sending message 105 to peer 0x148008000 (233 bytes)
1704251148.192103 sending message 105 to peer 0x148008000 (57 bytes)
